query,prod_nm,prod_mid,profit,ctr,profit_rank
新加坡F1,【 KKday 嗨Go!飛航日 】 酷航・桃園出發｜新加坡 4 天＆ 5 天計劃機票｜1 人成行｜自選超值方案＆加贈無限流量SIM卡,527092,0,5.88,6
新加坡F1,遊艇巡遊“在水中暢遊快車道！” F1 新加坡大獎賽快艇體驗 } 新加坡,151573,0,0.0,7
新加坡F1,桃園出發｜新加坡機加酒自由行 4~5 日．自選飯店｜2人成行｜贈SIＭ卡＆機場來回接送,284697,0,0.0,8
新加坡f1,新加坡F1門票住宿四天三夜,168524,3662,32.76,1
新加坡f1,2026新加坡航空F1新加坡大獎賽@濱海灣街賽道 | 新加坡一級方程式賽車,129639,369,66.36,2
新加坡f1,2026新加坡F1大獎賽：豪華VIP款待套餐 | 濱海灣街道賽道，新加坡一級方程式賽車,185901,0,13.33,3
新加坡f1,酷航・桃園出發｜新加坡 4～6 天計劃機票＋自選超值方案｜1 人成行・含行李,158429,0,13.89,4
新加坡f1,桃園出發｜新加坡機加酒自由行4日．自選飯店｜兩人成行｜贈無限流量SIＭ卡,268813,0,0.0,5
新加坡f1,遊艇巡遊“在水中暢遊快車道！” F1 新加坡大獎賽快艇體驗 } 新加坡,151573,0,0.0,6
新加坡f1,【 KKday 嗨Go!飛航日 】 酷航・桃園出發｜新加坡 4 天＆ 5 天計劃機票｜1 人成行｜自選超值方案＆加贈無限流量SIM卡,527092,0,0.0,7
